FirstName,LastName,Year,Gender,Age,Valuation,NotableFacts,Network,SlaveOwnerFirstName,SlaveOwnerLastName,SlaveOwnerOccupation,SlaveOwnerNumberSlavesHeld,Link,LinkDescription,AdditionalLinks,PrintedSource
Matthew,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Tom,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Billy,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Nick,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Tom,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Fanny,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Basil,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Nelly,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Charity,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Jacob,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
John,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Nicholas,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Mary,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Billey,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Simon,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Stephen,Queen,1796,,,,"Petitioned for his freedom from Ashton ""at a later date and was recorded in the Registry of the County Clerk in 1819.""","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Patrick,Mahoney,1798,,,,Brother of Charles and Daniel Mahoney. Patrick and his brother Charles fled from Ashton in 1798. They petitioned for their freedom in 1802 and were manumitted in 1804.,"Descendant of Ann Joice, a free woman who came to Maryland as an indentured servant.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Daniel,Mahoney,1798,,,,Brother of Charles and Patrick Mahoney. Was manumitted in 1805.,"Descendant of Ann Joice, a free woman who came to Maryland as an indentured servant.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Moses,,1803,,,,Escaped from John Ashton's property in Port Tobacco in 1803.,,John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Isaac,,1803,,,,Escaped from John Ashton's property in Port Tobacco in 1803.,,John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Butler,,1815,,,,"In his will, John Ashton left Charles and Elizabeth Queen, children of Susanna Queen, a plot of land in Charles County, horses, hogs, cattle, utensils, as well as a man named Buttler, a woman named Linny, and her children. Eric Papenfuse speculates that Ashton may have fathered Susanna Queen's children.",,John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Linny,,1815,,,,"In his will, John Ashton left Charles and Elizabeth Queen, children of Susanna Queen, a plot of land in Charles County, horses, hogs, cattle, utensils, as well as a man named Buttler, a woman named Linny, and her children. Eric Papenfuse speculates that Ashton may have fathered Susanna Queen's children.",,John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Clem,,1815,,35,$450,"When John Ashton died, Notley Young performed a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/146,,,
Harrison,,1815,,16,$475,"When John Ashton died, Notley Young performed a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/146,,,
John,,1815,,14,$400,"When John Ashton died, Notley Young performed a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/146,,,
Michel,,1815,,12,$350,"When John Ashton died, Notley Young performed a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/146,,,
Ned,,1815,,8,$250,"When John Ashton died, Notley Young performed a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/146,,,
Bill,,1815,,19,$500,"When John Ashton died, Notley Young performed a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/146,,,
Isaac,,1815,,14,$400,"When John Ashton died, Notley Young performed a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/146,,,
Tagers,,1815,,12,$350,"When John Ashton died, Notley Young performed a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/146,,,
Basil,,1815,,8,$250,"When John Ashton died, Notley Young performed a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/146,,,
Venus,,1815,,40,$150,"When John Ashton died, Notley Young performed a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/146,,,
Nelly,,1815,,35,$100,"When John Ashton died, Notley Young performed a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/146,,,
Edward ,Queen,1791,,,,"Edward Queen brought a suit against John Ashton for assault and battery and false imprisonment in 1791. The court ruled in favor of the slave. Twelve members of his family ran away in 1795. Ten other of the remaining family members, including Edward, of the family petitioned Prince George's County Court for freedom in 1796 and were manumitted.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://slaveryarchive.georgetown.edu/items/show/35,Edward's petition for freedom.,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,
Old ralph,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and breeches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankets, when necessary.""",,Francis,Beeston,Jesuit priest,49,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Jack,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and breeches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankets, when necessary.""",,Francis,Beeston,Jesuit priest,49,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Luke,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and breeches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankets, when necessary.""",,Francis,Beeston,Jesuit priest,49,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Suke,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and breeches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankets, when necessary.""",,Francis,Beeston,Jesuit priest,49,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Henny,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and breeches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankets, when necessary.""",,Francis,Beeston,Jesuit priest,49,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Moll,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and breeches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankets, when necessary.""",,Francis,Beeston,Jesuit priest,49,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Poll,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and breeches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankets, when necessary.""",,Francis,Beeston,Jesuit priest,49,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Kate,,1799,,,,"In 1799, from Baltimore, Beeston got appointed superintendent of Bohemia's affairs and was authorized to sell Kate and her two children out of Bohemia.",Kate had two children.,Francis,Beeston,Jesuit priest,49,https://slaveryarchive.georgetown.edu/items/show/166,,,
Prudence,,1791,,,,"Buried in Bohemia. Died May 24, 1791.",,Francis,Beeston,Jesuit priest,49,,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 139."
Hannah,,1792,,,,"Died of consumption. Buried in Bohemia. Died April 23, 1792.",,Francis,Beeston,Jesuit priest,49,,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 140."
Mary,,1791,,,,"""Mulatto slave,"" Catholic, daughter of Beeston's ""negro slave"" Rachael. Was one of the Bohemia priests the father? Mary married Henry Stephen Biddles, a Protestant slave at Bohemia on Feburary 10, 1791, according to the register.",Daughter of Rachel.,Francis,Beeston,Jesuit priest,49,,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 43."
Rachel,,1791,,,,"Mother of Mary, the Catholic mixed race slave.",,Francis,Beeston,Jesuit priest,49,,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 43."
Richard,,1791,,,,"Sponsor for the baptism of Rachel, slave of Charles Heverin.",,Francis,Beeston,Jesuit priest,49,,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 69."
Patience,,1791,,,,"Sponsor for the baptism of Rachel, slave of Charles Heverin.",,Francis,Beeston,Jesuit priest,49,,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 69."
John,,1787,,,,"Rev. John Bolton's diary: ""September 14, 1787. I married John and Peg, a couple of old Mr. Blake's negroes. Many others present.""",Married to Peg.,Charles,Blake,,58,,,,"Edward B Carley, The Origins and History of St. Peterês Church, Queenstown, Maryland, 1637-1976 (Centreville, Md.: Carley, 1976), p. 40."
Peg,,1787,,,,"Rev. John Bolton's diary: ""September 14, 1787. I married John and Peg, a couple of old Mr. Blake's negroes. Many others present.""",Married to John.,Charles,Blake,,58,,,,"Edward B Carley, The Origins and History of St. Peterês Church, Queenstown, Maryland, 1637-1976 (Centreville, Md.: Carley, 1976), p. 40."
Bernard,,1791,,,,"Bernard married Rebecca, Arthur Matthews's slave on February 25, 1791.",,Charles,Blake,,58,,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 43."
Isaac,Dobson,1774,,,,"Isaac Dobson was accused and convicted for allegedly stealing 120 lbs. of bacon from Nicholas Rooney. He was eventually pardoned, though it is not clear why.",,John Sayer,Blake,,63,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/051600/051604/html/51604bio.html,,,
Jim,,1796,,,,"Rev. John Bolton's diary: ""January 3, 1796. Married Mr. John Blake's Jim to Dolly of Mr. Richard Bennett Carmichael, by note at Wye. May present. Ibidem, also, Blake's Sarah to H. Coursey's Poll. By note.""",,John Sayer,Blake,,63,,,,"Edward B Carley, The Origins and History of St. Peterês Church, Queenstown, Maryland, 1637-1976 (Centreville, Md.: Carley, 1976), p. 41."
Sarah,,1796,,,,"Rev. John Bolton's diary: ""January 3, 1796. Married Mr. John Blake's jim to Dolly of Mr. Richard Bennett Carmichael, by note at Wye. May present. Ibidem, also, Blake's Sarah to H. Coursey's Poll. By note.""",,John Sayer,Blake,,63,,,,"Edward B Carley, The Origins and History of St. Peterês Church, Queenstown, Maryland, 1637-1976 (Centreville, Md.: Carley, 1976), p. 41."
Anthony,,1790,,24 or 25,,"Former slave of Raphael Boarman escaped in 1790 from P. Savary. Runaway slave newspaper ad: ""Ran away, four months ago, from the subscriber's plantation, in Prince George's county, Maryland, about three miles from Alexandria ferry, a negro man called Anthony, four or five and twenty years old, about six feet high, knock-kneed, which gives him a weak countenance when walking, and flammers a little; he was formerly the property of one Raphael Boarman, living in the neighbourhood of Bryan town. Any person who will stop the said negro, and secure him so that I get him again, shall have a reward of one guinea, or three pounds, with reasonable charges, if brought to my house and, as I have great reason to believe the said negro is harboured and employed in the neighbourhood where he formerly lived, any person who will discover and certify before any court by whom he is so harboured and employed, so as I may recover damages, shall have ten pounds, paid down by P. Savary.""",,Raphael,Boarman,,12, https://www.newspapers.com/image/41047333/?terms=%22Raphael%2BBoarman%22,,,
Rachel,,1785,,,,"Thomas James Boarman's will left ""'Veyes' [?], Rachel ack. U child, yellow Charles, and Harry"" to his son Raphael.",,Raphael,Boarman,,12,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
Charles,,1785,,,,"Thomas James Boarman's will left ""'Veyes' [?], Rachel ack. U child, yellow Charles, and Harry"" to his son Raphael.",,Raphael,Boarman,,12,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
Harry,,1785,,,,"Thomas James Boarman's will left ""'Veyes' [?], Rachel ack. U child, yellow Charles, and Harry"" to his son Raphael.",,Raphael,Boarman,,12,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
Abraham,,1789,,,,One of the people Raphael Boarman and John Neale purchased in 1789.,,Raphael,Boarman,,12,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
Terry,,1789,Female,,,One of the people Raphael Boarman and John Neale purchased in 1789.,,Raphael,Boarman,,12,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
Clem,,1789,,Boy,,One of the people Raphael Boarman and John Neale purchased in 1789.,,Raphael,Boarman,,12,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
Agnes,,1789,,Girl,,One of the people Raphael Boarman and John Neale purchased in 1789.,,Raphael,Boarman,,12,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
Ann,,1789,,Girl,,One of the people Raphael Boarman and John Neale purchased in 1789.,,Raphael,Boarman,,12,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
Isaac,,1795,,"""Advanced in years""",,"Escaped from Raphael Boarman. Runaway slave newspaper ad: ""Ten Pounds Reward. Ran away, on the fifteenth instant, a yellow fellow named Isaac, about five feet six or seven inches high, advanced in years, has a scar on his breast, and a large one on the back part of his shoulder. Whoever delivers said slave to me in Newport Forest, Charles county, shall have the above reward, if taken one hundred miles from home, if a longer or shorter distance a proportionable reward, and all reasonable charges, paid by Raphael Boarman. September 19, 1795""",,Raphael,Boarman,,12,https://www.newspapers.com/image/41044587/?terms=%22Raphael%2BBoarman%22,,,
Elizabeth,,1786,Female,30,,"Escaped from Raphael Boarman in 1786. Runaway slave newspaper ad: ""Five Pounds Reward. July 17, 1786. Eloped on the 11th instant, a tawney woman named Elizabeth, thirty years old, of middle size; she took with her a variety of cloathing; it is suspected that she wil endeavour to pass as far as possible from her native place, and that as a free person. Whoever takes up said slave and brings her to the subscriber shall have the above sum, if taken one hundred miles from home, if a longer or shorter distance, a proportioned reward. Raphael Boarman, of Cornwallis neck, Charles county, Maryland.""",,Raphael,Boarman,,12,https://www.newspapers.com/image/41047647/?terms=%22Raphael%2BBoarman%22,,,
Isaac,Wallace,1772,,,,"Escaped from John Bolton. Said to ""have been carried by ship to London"" (from where Bolton brought him a year earlier).",,John,Bolton,Jesuit priest,11,https://msa.maryland.gov/megafile/msa/speccol/sc2900/sc2908/000001/000819/pdf/chart96.pdf#search=john%20bolton,,,
Nelly,,1799,,11,_15,Sold to Joseph Smith of Baltimore Town after December 1799.,Sold shortly after the Mahony ruling.,Charles,Carroll [of Carrollton],,315,http://blog.nyhistory.org/generations-a-slave/,"""A list of negroes sold on Doughoregan Manor since December the 2nd 1799 by Mr. Carroll"" via the New York Historical Society. ",,
