EnslavedPersonFirstName,EnslavedPersonLastName,Year,Gender,Age,Valuation,NotableFacts,Network,SlaveOwnerFirstName,SlaveOwnerLastName,SlaveOwnerOccupation,SlaveOwnerPlottedLocation,SlaveOwnerNumberSlavesHeld,NumberSlavesSued,NumberSlavesRanAway,Source1,Source2,Source3,Notes
Nick,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Tom,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Fanny,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Basil,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Nelly,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Charity,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Jacob,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
John,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Nicholas,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Mary,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Billey,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Simon,Queen,1796,,,,Petitioned Prince George's County Court for freedom in 1796 and were manumitted.,"Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Stephen,Queen,1796,,,,"Petitioned for his freedom from Ashton ""at a later date and was recorded in the Registry of the County Clerk in 1819.""","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Charles,Mahoney,1791,,,,"Sued John Ashton on the grounds of being descended from a free woman named Ann Joice in 1791. The case was postponed until 1795, when the judge ruled in Mahoney's favor, but the decision was appealed. Mahoney and his brother Patrick fled from Ashton in 1798. They petitioned for their freedom in 1802 and were manumitted in 1804.","Descendant of Ann Joice, a free woman who came to Maryland as an indentured servant.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,http://earlywashingtondc.org/doc/oscys.mdcase.0008.054,"Eric Papenfuse, ""From Recompense to Revolution: Mahoney v Ashton and the Transfiguration of Maryland Culture, 1791-1802,"" Slavery and Abolition 15, no. 3 (December 1, 1994): 38-62.",
Patrick,Mahoney,1798,,,,Brother of Charles and Daniel Mahoney. Patrick and his brother Charles fled from Ashton in 1798. They petitioned for their freedom in 1802 and were manumitted in 1804.,"Descendant of Ann Joice, a free woman who came to Maryland as an indentured servant.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Daniel,Mahoney,1798,,,,Brother of Charles and Patrick Mahoney. Was manumitted in 1805.,"Descendant of Ann Joice, a free woman who came to Maryland as an indentured servant.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Moses,,1803,,,,Escaped from John Ashton's property in Port Tobacco in 1803.,,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Isaac,,1803,,,,Escaped from John Ashton's property in Port Tobacco in 1803.,,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Clem,,1815,,35,$450,"When John Ashton died, Notley Young did a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://slaveryarchive.georgetown.edu/items/show/146,,,
Harrison,,1815,,16,$475,"When John Ashton died, Notley Young did a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://slaveryarchive.georgetown.edu/items/show/146,,,
John,,1815,,14,$400,"When John Ashton died, Notley Young did a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://slaveryarchive.georgetown.edu/items/show/146,,,
Michel,,1815,,12,$350,"When John Ashton died, Notley Young did a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://slaveryarchive.georgetown.edu/items/show/146,,,
Ned,,1815,,8,$250,"When John Ashton died, Notley Young did a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://slaveryarchive.georgetown.edu/items/show/146,,,
Bill,,1815,,19,$500,"When John Ashton died, Notley Young did a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://slaveryarchive.georgetown.edu/items/show/146,,,
Isaac,,1815,,14,$400,"When John Ashton died, Notley Young did a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://slaveryarchive.georgetown.edu/items/show/146,,,
Tagers,,1815,,12,$350,"When John Ashton died, Notley Young did a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://slaveryarchive.georgetown.edu/items/show/146,,,
Basil,,1815,,8,$250,"When John Ashton died, Notley Young did a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://slaveryarchive.georgetown.edu/items/show/146,,,
Venus,,1815,,40,$150,"When John Ashton died, Notley Young did a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://slaveryarchive.georgetown.edu/items/show/146,,,
Nelly,,1815,,35,$100,"When John Ashton died, Notley Young did a valuation of the people Ashton owned.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://slaveryarchive.georgetown.edu/items/show/146,,,
"Susanna ""Sucky""",Queen,1815,,,,"Sucky sued John Ashton for freedom on the same grounds as the other Queens in 1796. In his will, John Ashton left Charles and Elizabeth Queen, children of Susanna Queen, a plot of land in Charles County, horses, hogs, cattle, utensiles, as well as a man named Buttler, a woman named Linny, and her children. Eric Papenfuse speculates that Ashton may have fathered Susanna Queen's children.","Mother of Charles and Elizabeth Queen, presumably the same people mentioned in Ashton's will.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,"Eric Papenfuse, ""From Recompense to Revolution: Mahoney v Ashton and the Transfiguration of Maryland Culture, 1791-1802,"" Slavery and Abolition 15, no. 3 (December 1, 1994): 38-62.",http://earlywashingtondc.org/families/queen,"""Early Washington DC"" (see Source3) website cites the fact that Ashton was accused by the Jesuit order of an illicit relationship with Sucky Queen and fathering two children with her, but I can't find any primary source evidence for this claim."
Charles,Queen,1815,,,,"In his will, John Ashton left Charles and Elizabeth Queen, children of Susanna Queen, a plot of land in Charles County, horses, hogs, cattle, utensiles, as well as a man named Buttler, a woman named Linny, and her children. Eric Papenfuse speculates that Ashton may have fathered Susanna Queen's children.","Son of Susanna Queen, brother of Elizabeth Queen.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,"Eric Papenfuse, ""From Recompense to Revolution: Mahoney v Ashton and the Transfiguration of Maryland Culture, 1791-1802,"" Slavery and Abolition 15, no. 3 (December 1, 1994): 38-62.",,
Elizabeth,Queen,1815,,,,"In his will, John Ashton left Charles and Elizabeth Queen, children of Susanna Queen, a plot of land in Charles County, horses, hogs, cattle, utensiles, as well as a man named Buttler, a woman named Linny, and her children. Eric Papenfuse speculates that Ashton may have fathered Susanna Queen's children.","Daughter of Susanna Queen, sister of Charles Queen.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,"Eric Papenfuse, ""From Recompense to Revolution: Mahoney v Ashton and the Transfiguration of Maryland Culture, 1791-1802,"" Slavery and Abolition 15, no. 3 (December 1, 1994): 38-62.",,
Butler,,1815,,,,"In his will, John Ashton left Charles and Elizabeth Queen, children of Susanna Queen, a plot of land in Charles County, horses, hogs, cattle, utensiles, as well as a man named Buttler, a woman named Linny, and her children. Eric Papenfuse speculates that Ashton may have fathered Susanna Queen's children.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Linny,,1815,,,,"In his will, John Ashton left Charles and Elizabeth Queen, children of Susanna Queen, a plot of land in Charles County, horses, hogs, cattle, utensiles, as well as a man named Buttler, a woman named Linny, and her children. Eric Papenfuse speculates that Ashton may have fathered Susanna Queen's children.",,John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Old ralph,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and brreches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankes, when necessary.""",,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Jack,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and brreches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankes, when necessary.""",,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Luke,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and brreches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankes, when necessary.""",,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Suke,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and brreches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankes, when necessary.""",,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Henny,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and brreches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankes, when necessary.""",,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Moll,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and brreches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankes, when necessary.""",,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Poll,,1790,,,,"Francis Beeston's diary had a list of of yearly allowances of clothes for ""the Negroes,"" and these names are recorded among other to indicate that clothing had been distributed that year to them. The annual allowance was as follows: ""Men and working boys--one winter suit, consiting of one woolen jacket and brreches (or trowsers at option of Master), one pair yarn stockings, one pair shoes, two shirts, one pair linen trowsers for summer. Women and working girls--one woolen short gown, and petticoat, for winter, one linen petticoat for summer, two shifts, one pair shoes, one pair yarn stockings every other year, and feeting alternately. Children--as necessity requires. N.B.--blankes, when necessary.""",,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,,,
Mary,,1791,,,,"""Mulatto slave,"" Catholic, daughter of Beeston's ""negro slave"" Rachael. Was one of the Bohemia priests the father? Mary married Henry Stephen Biddles, a Protestant slave at Bohemia on Feburary 10, 1791, according to the register.",Daughter of Rachel.,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 43.",,,
Rachel,,1791,,,,"Mother of Mary, the Catholic mixed race slave.",Mother of Mary.,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 43.",,,
Richard,,1791,,,,"Sponsor for the baptism of Rachel, slave of Charles Heverin.",,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 69.",,,
Patience,,1791,,,,"Sponsor for the baptism of Rachel, slave of Charles Heverin.",,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 69.",,,
Kate,,1799,,,,"In 1799, from Baltimore, Beeston gets appointed superintendent of Bohemia's affairs and gets authorized to sell Kate and her two children out of Bohemia.",Kate had two children.,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,https://slaveryarchive.georgetown.edu/items/show/166,,,
Prudence,,1791,,,,"Buried in Bohemia. Died May 24, 1791.",,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 139.",,,
Hannah,,1792,,,,"Died of consumption. Buried in Bohemia. Died April 23, 1792.",,Francis,Beeston,Jesuit priest,"1445 Bohemia Church Road, Warwick, MD",49,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 140.",,,
John,,1787,,,,"Rev. John Bolton: ""September 14, 1787. I married John and Peg, a couple of old Mr. Blake's negroes. Many others present.""",Married to Peg.,Charles,Blake,,"Blakeford Ln, Centreville, MD 21617",58,,,"Edward B Carley, The Origins and History of St. PeterÍs Church, Queenstown, Maryland, 1637-1976 (Centreville, Md.: Carley, 1976), p. 40.",,,
Peg,,1787,,,,"Rev. John Bolton: ""September 14, 1787. I married John and Peg, a couple of old Mr. Blake's negroes. Many others present.""",Married to John.,Charles,Blake,,"Blakeford Ln, Centreville, MD 21617",58,,,"Edward B Carley, The Origins and History of St. PeterÍs Church, Queenstown, Maryland, 1637-1976 (Centreville, Md.: Carley, 1976), p. 40.",,,
Bernard,,1791,,,,"Bernard married Rebecca, Arhur Matthews's slave on February 25, 1791.",,Charles,Blake,,"Blakeford Ln, Centreville, MD 21617",58,,,"Joseph C Cann, Old Bohemia Historical Society, and History Committee, ""History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland"" (Place of publication not identified: The Society, 1976), p. 43.",,,
Jim,,1796,,,,"Rev. John Bolton: ""January 3, 1796. Married Mr. John Blake's jim to Dolly of Mr. Richard Bennett Carmichael, by note at Wye. May present. Ibidem, also, Blake's Sarah to H. Coursey's Poll. By note.""",,John Sayer,Blake,,"Queen Anne's County, MD",63,,,"Edward B Carley, The Origins and History of St. PeterÍs Church, Queenstown, Maryland, 1637-1976 (Centreville, Md.: Carley, 1976), p. 41.",,,
Sarah,,1796,,,,"Rev. John Bolton: ""January 3, 1796. Married Mr. John Blake's jim to Dolly of Mr. Richard Bennett Carmichael, by note at Wye. May present. Ibidem, also, Blake's Sarah to H. Coursey's Poll. By note.""",,John Sayer,Blake,,"Queen Anne's County, MD",63,,,"Edward B Carley, The Origins and History of St. PeterÍs Church, Queenstown, Maryland, 1637-1976 (Centreville, Md.: Carley, 1976), p. 41.",,,
Isaac,Dobson,1774,,,,"Isaac Dobson was accused and convincted for allegedly stealing 120 lbs of bacon from Nicholas Rooney. He was eventually pardoned, though it is not clear why.",,John Sayer,Blake,,"Queen Anne's County, MD",63,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/051600/051604/html/51604bio.html,,,
Rachel,,1785,,,,"Thomas James Boarman's will left ""'Veyes' [?], Rachel ack. U child, yellow Charles, and Harry"" to his son Raphael.",,Raphael,Boarman,,"Cornwallis Neck, Charles County, MD",12,,,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
Charles,,1785,,,,"Thomas James Boarman's will left ""'Veyes' [?], Rachel ack. U child, yellow Charles, and Harry"" to his son Raphael.",,Raphael,Boarman,,"Cornwallis Neck, Charles County, MD",12,,,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
Harry,,1785,,,,"Thomas James Boarman's will left ""'Veyes' [?], Rachel ack. U child, yellow Charles, and Harry"" to his son Raphael.",,Raphael,Boarman,,"Cornwallis Neck, Charles County, MD",12,,,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
Abraham,,1789,,,,Raphael Boarman and John Neale bought these people in 1789.,,Raphael,Boarman,,"Cornwallis Neck, Charles County, MD",12,,,http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1,,,
