SubscriberSource,SubscriberLastName,SubscriberFirstName,SubcriberMiddleName,SubscriberTitle,SubscriberNoCopies,SubscriberLocation,PlottedLocation,State,LocationConfidenceLevel,PlottedLocation_Latitude,PlottedLocation_Longtitude,PlottedLocation_Note,PlottedLocation_Link,Preceeding Location ,CensusDate,CensusLastName,CensusFirstName,CensusAddress,CensusCity,CensusWard/ County,CensusNumberOfHouseholdMembers,Under 16,Over16,Females,Slaves,All other Free Persons,Notes,SK_Notes,YearBorn,Place Born,YearDied,Age in 1790,YearArrivedinUS,Occupation,SlaveOwner,NumberSlaves,Network
Badin Bible,Bolton,John,,Rev.,,Talbot County,"13209 Church Lane, Cordova, Maryland 21625",MD,Point,,,"John Bolton succeeded Joseph Mosley at  St. Joseph's Mission in 1787. See Raymond J. Kupke, American Catholic Preaching and Piety in the Time of John Carroll (Lanham: University Press of America, 1991) p. 179. ",https://books.google.com/books?id=UYVz8DsF_uYC&dq=%22john+bolton%22+talbot&q=john+bolton#v=snippet&q=john%20bolton&f=false,,1790,Bolton,John,Talbot,Talbot,,15,0,2,2,11,0,,"This book has some of his sermons and addresses: https://books.google.com/books?id=UYVz8DsF_uYC&pg=PA179&dq=%22john+bolton%22+talbot&hl=en&sa=X&ved=0ahUKEwjOybfNv7_bAhWm3YMKHa9MAl4Q6AEIRzAF#v=onepage&q=%22john%20bolton%22%20talbot&f=false. Also, the book ""Jesuit Slaveholding in Maryland, 1717-1838"" mentions one of Bolton's sermons.",1742,England,1809,48,1771,Jesuit priest,1,11,Succeeded Joseph Mosley at St. Joseph's on the Eastern Shore of Maryland
Badin Bible,Boulton,Richard,,,,St. Mary's County,"St. Mary's County, MD",MD,County,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census,A woodworker with a connection to George Washington.,,,,,,Craftsman,,,"William Fitzhugh, George Washington. ""William Fitzhugh, George Platerês friend and stepfather-inlaw, had recommended Richard Boulton to George Washington as a craftsman whose work equaled the best. Boulton is credited with the design and supervision of the expansion of Sotterley that created an elegant entry hall and drawing room around 1770 as well as with work on other residences and churches in St. Maryês County. Boulton signed a contract with George Washington in May 1785 to finish the large room at the north end of the first floor at Mount Vernon. Washington had undertaken to send a wagon to pick up Boultonês tools at Sotterley. However, Boulton wrote back almost immediately saying he could not fulfill the contract because his creditors threatened to have him arrested if he tried to leave Maryland. Plater did not himself endorse Fitzhughês recommendation nor write Washington about Boulton.""Fitzhugh writes a letter to GW regretting the recommendation.  Source: https://msa.maryland.gov/megafile/msa/speccol/sc2900/sc2908/000001/000864/pdf/am864.pdf#search=richard%20boulto p. 147-148."
Badin Bible,Bourke,Edward,,,,Caroline county,"Caroline County, MD",MD,County,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census. It also appears that this location was not plotted at all.,"There is an Edward Bourke burried in the Saint Joseph's Cemetery (attached to Old Bohemia) mission, but that's in Talbot County - https://www.findagrave.com/memorial/87019002/edward-bourke",,,,,,,,,
Badin Bible,Brawner,Elizabeth,,Mrs.,,Frederic county,"Frederick County, MD",MD,County,,,,,,1790,Brawner,Elizabeth,Frederick,Frederick,"Frederick, Maryland",11,2,3,2,4,0,,,,,,,,,1,4,
Badin Bible,Brent,William,Chandler,Esq.,,Charles County,"Charles County, MD",MD,Point,38.4517899,-77.0521976,"Location approximate. Brent's suits mention the land called ""Goose Creek.""",http://www.colonial-settlers-md-va.us/getperson.php?personID=I103571&tree=Tree1,,1790,Brent,Chandler,Charles,Charles,"Charles, Maryland",37,3,2,3,29,0,"He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 368. His location is ""Charles City."" In the bible, he's listed as ""Charles county,"" which is what I'm using.",http://www.colonial-settlers-md-va.us/getperson.php?personID=I103571&tree=Tree1,1768,"Charles County, MD",1807,22,,,1,29,"It is likely that his daughter, Sister Agnes Brent, became a Superior. See footnote on p. 684 in John Gilmary Shea, ""History of the Catholic Church in the United States,"" https://books.google.com/books?id=Yr0YAAAAYAAJ&dq=%22william+chandler+brent%22&source=gbs_navlinks_s"
Badin Bible,Brooke,Baker,,Esq.,,Charles County,"Mount Carmel Monastery, La Plata, MD",MD,Point,,,"The property Baker Brooke had owned would become the sight of the first convent of religious women in America (Mount Carmel), founded 4 miles from Port Tobacco in 1790. Brooke was paid for the land, but he gave the house to the order and to Rev. Charles Neale as a present.",https://books.google.com/books?id=JO3PAAAAMAAJ&pg=PA150&dq=%22baker+brooke%22&hl=en&sa=X&ved=0ahUKEwi7l8PepcTbAhWPGDQIHUG3A3wQ6AEIRjAF#v=onepage&q=%20brooke%22&f=false,,1790,Brooke,Baker,Charles,Charles,"Charles, Maryland",24,0,1,3,20,0,"He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 368. His location there is ""Charles City,"" but in Carey's published list, it's ""Charles county,"" which is what I'm using.",,,,,,,,1,20,Rev. Charles Neale (also a subscriber) bought the property for the first American women's convent in 1790 (and was given a house on it as a present by Baker Brooke). This book has a ton on the relationship between Brooke and the order and Charles/Francis Neale: https://books.google.com/books?id=JO3PAAAAMAAJ&pg=PA150&dq=%22baker+brooke%22&hl=en&sa=X&ved=0ahUKEwi7l8PepcTbAhWPGDQIHUG3A3wQ6AEIRjAF#v=onepage&q=%20brooke%22&f=false
Badin Bible,Cain,Daniel,,,,"Caroline County, MD","Cordova, MD",MD,City,,,Location approximate. His lands in Talbot County were in Chapel District.,https://books.google.com/books?id=V2UlAAAAMAAJ&pg=PA140&dq=%22daniel+cain%22+maryland&hl=en&sa=X&ved=0ahUKEwipj7_GtM7bAhWrilQKHeteCyIQ6AEILzAB#v=onepage&q=%22daniel%20cain%22%20maryland&f=false,,1790,Cain,Daniel,Talbot County,,"Talbot, Maryland",82,0,1,1,80,0,"doesn't appear in 1790 census. SK: appears in the census, but in Talbot County - same person?","Second largest slaveholder in Talbot County, according to the ""History of Talbot County, Maryland, 1661-1861, Vol. 2, p. 140, https://books.google.com/books?id=V2UlAAAAMAAJ&pg=PA140&dq=%22daniel+cain%22+maryland&hl=en&sa=X&ved=0ahUKEwipj7_GtM7bAhWrilQKHeteCyIQ6AEILzAB#v=onepage&q=%22daniel%20cain%22%20maryland&f=false",,,,,,,1,80,
Badin Bible,Carey,Dennis,,,,Queen Anne's county,"Queenstown, MD",MD,City,,,,,,1790,Carey,Dennis,Queen Annes,Queen Annes,,11,0,2,2,7,0,,"There is an a newspaper ad from 1774, where Dennis Carey lists his location as Queenstown, MD, hence the updated location: https://www.newspapers.com/image/39414945/?terms=%22dennis%2Bcarey%22",,,,,,,1,7,
Badin Bible,Carey,Edward,,,,Caroline County,"Caroline County, MD",MD,County,,,,,,1790,Carey,Edward,Caroline,Caroline,,,,,,,,"Listed in the census, but no data re: household. Census from 1800 has him in Queen Anne's County and with 5 slaves",,,,,,,,1,,
Badin Bible,Carey,John,,,,Queen Anne's county,"Queen Anne's County, MD",MD,County,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census,,,,,,,,,,
Badin Bible,Carricoe [Carrico],Thomas,Ignatius,,,Hagers-town,"Hagerstown, MD",MD,City,,,,,,1790,Carrico,Thos. Igns,,,"Washington, Maryland",14,5,2,1,6,0,doesn't appear in 1790 census. SK: found under the name Thomas Ignatius Carrico,http://www.colonial-settlers-md-va.us/getperson.php?personID=I017469&tree=Tree1,1741,"Bryantown, Charles County, Maryland",1813,49,,,1,6,
Badin Bible,Carroll,Daniel,,"Hon., Esq.",,Rock Creek,"Forest Glen, Silver Spring, MD",MD,Point,,,Rock Creek is present-day Forest Glen.,https://books.google.com/books?id=8zcjYPZxPV0C&pg=PA53&dq=%22daniel+carroll%22+%22rock+creek%22&hl=en&sa=X&ved=0ahUKEwio6fqd4s7bAhUO8YMKHRK1CFUQ6AEITjAH#v=onepage&q=%22daniel%20carroll%22%20%22rock%20creek%22&f=false,,,,,,,,,,,,,,"doesn't appear in 1790 census. This one needs to be corrected: the location is in Montgomery County, MD, not in Rock Creek, GA. His name appears in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Volume 9 (1898), p. 362, at ""Rock Creek."" ","He was at Rock Creek, which is now Forest Glen, MD, according to this biography (p. 53): https://books.google.com/books?id=8zcjYPZxPV0C&pg=PA53&dq=%22daniel+carroll%22+%22rock+creek%22&hl=en&sa=X&ved=0ahUKEwio6fqd4s7bAhUO8YMKHRK1CFUQ6AEITjAH#v=onepage&q=%22daniel%20carroll%22%20%22rock%20creek%22&f=false",1730,,1796,60,,,1,One of the largest slave owners in the country,"Older brother of Bishop John Carroll, cousin of Charles Carroll, friend of George Washington, member of the Maryland State Senate, signer of the Constitution of the United States. In 1791, Washington appointed him to the commission to determine the exact location of the District of Columbia, which ended up being almost exclusively on Daniel Carroll's land. Source: p. 50-53 https://books.google.com/books?id=8zcjYPZxPV0C&pg=PA53&dq=%22daniel+carroll%22+%22rock+creek%22&hl=en&sa=X&ved=0ahUKEwio6fqd4s7bAhUO8YMKHRK1CFUQ6AEITjAH#v=onepage&q=%22daniel%20carroll%22%20%22rock%20creek%22&f=false"
Badin Bible,Carroll [of Bellevue],Charles,,Esq.,,Hagers-town,"Hagerstown, MD",MD,City,,,,,,,,,,,,,,,,,,"2 Charles Carrolls in Washington, Maryland. He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 366. SK: I'm guessing he's the one with 33 slaves; he is related to the other Charles Carroll and was a wealthy slaveowner. See: https://rbscp.lib.rochester.edu/finding-aids/D488",,1767,,1823,23,,,1,33,"Cousin of Charles Carroll of Carrollton, friend of James Monroe and James Madison - http://allencbrowne.blogspot.com/2016/07/charles-carroll-of-belle-vue.html"
Badin Bible,Carroll [of Carrollton],Charles,,"Hon., Esq.",,Carrollton,"5809 Manor Woods Rd, Frederick, MD 21703",MD,Point,,,The Carrollton Manor was granted to Charles Carroll by his father Charles Carroll of Annapolis.,https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-1193.pdf,,1790,Carroll,"Charles, Esqr.",Anne Arundel,Anne Arundel,,320,0,5,0,315,0,"He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 363. Note that in that list, which is from John Carroll, Charles Carroll is located in Annapolis. However, since that information was not placed in the published list, I'm keeping the location as ""Carrollton, MD."" This is in Frederick County, MD. This is correct, as far was this is where Charles Carrollton of Carrollton was from.","Only Roman Catholic signer of the Declaration of Independence, later Maryland Senator. ",1737,"Carroll, MD",1832,53,,,1,315,Cousin of Charles Carroll of Bellevue and of Bishop John Carroll and his brother Daniel Carroll
Badin Bible,Casanave,Peter,,,,George-town,"3700 O St NW, Washington, DC 20057","Washington, DC",Point,,,,,,,,,,,,,,,,,,"doesn't appear in 1790 census; he appears in""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Volume 9 (1898), p. 362. He is listed as a merchant. SK: there is a person with his name in Montgomery, MD, in the 1790 census. No slaves.","Merchant, one-time mayor of Georgetown",,,,,,Merchant; is he the one-time mayor of Georgetown? Or is his son?,,,Georgetown
Badin Bible,Clements,John,,,,"Pomfret, Charles County, MD","Pomfret, MD",MD,City,,,,,,,,,,,,,,,,,,"4 John Clements in Charles, Maryland in 1790",He is this man and definitely a slave holder: http://www.colonial-settlers-md-va.us/getperson.php?personID=I056409&tree=Tree1,1727,,1804,,,,1,,
Badin Bible,Collins,George,,,,Anne Arundel County,"Anne Arundel County, MD",MD,County,,,,,,,,,,,,,,,,,,"no George Collinses in Anne Arundel County in Census. He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 363.",Not finding a whole lot on the Collinses,,,,,,,,,
Badin Bible,Collins,Richard,,,,[unknown],"Anne Arundel County, MD",MD,County,,,,,,,,,,,,,,,,,,"no Richard Collinses in Anne Arundel County in Census. He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 363. He's listed as ""Richard Collins, Anne Arundel County.""",Not finding a whole lot on the Collinses,,,,,,,,,
Badin Bible,Coomes [Combs],William,,,,"Charles County, MD","Port Tobacco, MD",MD,City,,,"Various Coomes, Cooms, Combs family wills place the estate and plantation in Port Tobacco, MD.",http://www.colonial-settlers-md-va.us/getperson.php?personID=I057160&tree=Tree1,,1790,Coomes,William,Charles,Charles,,19,0,2,2,15,0,,,1734,,,56,,,1,15,"Might be one of the first Catholic settlers in KY, according to this: https://books.google.com/books?id=4GDQAAAAMAAJ&pg=PA770&dq=%22William+Coomes%22&hl=en&sa=X&ved=0ahUKEwje3IvQntHbAhUBU7wKHbcoA_IQ6AEIMjAC#v=onepage&q=%22William%20Coomes%22&f=false"
Badin Bible,Corrie,John,,,,Talbot County,"Talbot County, MD",MD,County,,,,,,1790,Corrie,John,Talbot,Talbot,"Talbot, MD",13,0,2,6,13,0,,,,,,,,,1,13,
Badin Bible,Counsell [Councill or Counsil],Edward,Carey,,,Talbot County,"Talbot County, MD",MD,County,,,,,,1790,Council,Edwd Carey,Middleneck Hundred,Cecil,,8,2,2,2,2,0,The census puts him in a different location than what is on the subscribers list,,,,,,,,1,2,
Badin Bible,Cruise,Edward,,,,"Talbot County, MD","Talbot County, MD",MD,County,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census,,,,,,,,,,
Badin Bible,Davan,Kingsmill,,,,Hagerstown,"Hagerstown, MD",MD,City,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census,,,,,,,Merchant. Source: https://books.google.com/books?id=BU5HAQAAMAAJ&pg=PA210&dq=%22Kingsmill+Davan%22+hagerstown&hl=en&sa=X&ved=0ahUKEwjYmo6NutHbAhVXfSsKHSoOBd0Q6AEIMzAC#v=onepage&q=%22Kingsmill%20&f=false,,,
Badin Bible,Digges,George,,Esq.,,"Warburton, Patowmack","Warburton Manor, Fort Washington",MD,Point,38.7139667,-77.0289333,The archeological remains of Warburton Manor (the home of the Digges family) are located on this site.,https://mht.maryland.gov/secure/medusa/PDF/Prince%20Georges/PG;80-16.pdf,,1790,Digges,George,Prince Georges,Prince Georges,,109,0,2,2,105,0,"Add one to Prince George's County. See his will: http://www.colonial-settlers-md-va.us/getperson.php?personID=I019871&tree=Tree1. See also: He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 368. Listed as ""George Digges, Esq. Warburton, Potowmack."" ",,1743,,1792,47,,,1,105,"George Washinton: https://founders.archives.gov/documents/Washington/02-10-02-0256 Also connections to Notley Young and John Carroll (via William Digges, his father): http://www.colonial-settlers-md-va.us/getperson.php?personID=I019871&tree=tree1"
Badin Bible,Digges,Thomas,,Rev.,,Prince George's County,"Melwood, Prince George's County, MD",MD,Point,,,"A letter from George Washington to Thomas Digges is addressed to ""The Revd Mr Digges Mellwood Honored by Mr. Powell,"" thereby placing him in Melwood, MD.",https://founders.archives.gov/documents/Washington/04-05-02-0377,,,,,,,,,,,,,,"doesn't appear in 1790 census. He is mentioned as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 364.",,1711,,1805,,,,,,George Washington writes him a letter asking to host a Mr. Powell - https://founders.archives.gov/documents/Washington/04-05-02-0377. Digges serves as witness to Edward Queen's petition for freedom from John Ashton in 1791: https://slaveryarchive.georgetown.edu/items/show/35. He is the son of William Digges (of Prince George's County) and the brother of Ignatius Digges and is mentioned in their wills: http://www.colonial-settlers-md-va.us/getperson.php?personID=I012087&tree=Tree1. He is also the uncle of Governor of Maryland's wife Mary (Digges) Lee.
,Dogne [Doyne],Joseph,,Rev.,14 copies,"Port Tobacco, MD","8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,,,St. Thomas Manor,https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-1026.pdf,,,,,,,,,,,,,,"He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 366. But he isn't listed in Carey's published subscriber list.","The last name is ""Doyne"" to ""Dogne."" The first was a misspelling in Carroll's list; it is spelled correctly in one of Carey's letters. ",,,1803,,,Jesuit priest,,,"Georgetown University, St. Thomas Manor, Francis Neale"
Badin Bible,Doyle,Alexander,,,,George Town,"3700 O St NW, Washington, DC 20057","Washington, DC",Point,,,,,,,,,,,,,,,,,,"doesn't appear in 1790 census; he appears in""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Volume 9 (1898), p. 362. He is listed as a merchant.","Last name changed from ""Doyl"" to ""Doyle."" The first was a misspelling.",,,,,,Merchant,,,"Georgetown, trustee of Holy Trinity Church (he erected the church building; in exchange he wanted his sons to have free education at Georgetown)"
Badin Bible,Doyle,Matthew,,,,Talbot County,"Talbot County, MD",MD,County,,,,,,1790,Doil,Matthew,Talbot,Talbot,"Talbot, Maryland",9,2,3,4,0,0,,,,,,,,,0,,
Badin Bible,Doyne,Joseph,,Rev.,,"St. Thomas's manor, Port Tobacco","8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,,,St. Thomas Manor,https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-1026.pdf,,1790,Doyne,Joseph,Charles,Charles,"Charles, MD",1,0,1,0,0,0,"I changed this location, however, it was already correctly plotted on the map.",Another St. Thomas Manor priest,,,,,,Jesuit priest,,,
Badin Bible,Edelen,John,,,,"Charles County, MD","Charles County, MD",MD,County,,,Check here before doing other searches - https://books.google.com/books?id=8_WbVwd_HkUC&pg=PA191&lpg=PA191&dq=%22john+spalding%22+plantation+prince+george%27s+county&source=bl&ots=nEGSAnLPeK&sig=d3KtM_HlcZwiSaRVANEGCOpUpOA&hl=en&sa=X&ved=0ahUKEwiiub_qpvTbAhVS4VQKHaOTDbMQ6AEIRzAG#v=onepage&q&f=false,,,1790,Edelen,John,Charles,Charles,"Charles, MD",26,6,2,3,15,0,,,,,,,,,1,15,
